city,district,ward,city_prefix,city_val,district_prefix,district_val,ward_prefix,ward_val
Tỉnh Phú Thọ,Huyện Phù Ninh,Xã Phú Nham,tinh,Phú Thọ,huyen,Phù Ninh,xa,Phú Nham
Tỉnh Phú Thọ,Huyện Phù Ninh,Xã An Đạo,tinh,Phú Thọ,huyen,Phù Ninh,xa,An Đạo
Tỉnh Phú Thọ,Huyện Phù Ninh,Xã Bình Phú,tinh,Phú Thọ,huyen,Phù Ninh,xa,Bình Phú
Tỉnh Phú Thọ,Huyện Phù Ninh,Xã Phù Ninh,tinh,Phú Thọ,huyen,Phù Ninh,xa,Phù Ninh
Tỉnh Phú Thọ,Huyện Yên Lập,Thị trấn Yên Lập,tinh,Phú Thọ,huyen,Yên Lập,thi tran,Yên Lập
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Mỹ Lung,tinh,Phú Thọ,huyen,Yên Lập,xa,Mỹ Lung
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Mỹ Lương,tinh,Phú Thọ,huyen,Yên Lập,xa,Mỹ Lương
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Lương Sơn,tinh,Phú Thọ,huyen,Yên Lập,xa,Lương Sơn
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Xuân An,tinh,Phú Thọ,huyen,Yên Lập,xa,Xuân An
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Xuân Viên,tinh,Phú Thọ,huyen,Yên Lập,xa,Xuân Viên
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Xuân Thủy,tinh,Phú Thọ,huyen,Yên Lập,xa,Xuân Thủy
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Trung Sơn,tinh,Phú Thọ,huyen,Yên Lập,xa,Trung Sơn
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Hưng Long,tinh,Phú Thọ,huyen,Yên Lập,xa,Hưng Long
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Nga Hoàng,tinh,Phú Thọ,huyen,Yên Lập,xa,Nga Hoàng
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Đồng Lạc,tinh,Phú Thọ,huyen,Yên Lập,xa,Đồng Lạc
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Thượng Long,tinh,Phú Thọ,huyen,Yên Lập,xa,Thượng Long
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Đồng Thịnh,tinh,Phú Thọ,huyen,Yên Lập,xa,Đồng Thịnh
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Phúc Khánh,tinh,Phú Thọ,huyen,Yên Lập,xa,Phúc Khánh
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Minh Hòa,tinh,Phú Thọ,huyen,Yên Lập,xa,Minh Hòa
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Ngọc Lập,tinh,Phú Thọ,huyen,Yên Lập,xa,Ngọc Lập
Tỉnh Phú Thọ,Huyện Yên Lập,Xã Ngọc Đồng,tinh,Phú Thọ,huyen,Yên Lập,xa,Ngọc Đồng
Tỉnh Phú Thọ,Huyện Cẩm Khê,Thị trấn Cẩm Khê,tinh,Phú Thọ,huyen,Cẩm Khê,thi tran,Cẩm Khê
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Tiên Lương,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Tiên Lương
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Tuy Lộc,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Tuy Lộc
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Ngô Xá,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Ngô Xá
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Minh Tân,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Minh Tân
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Phượng Vĩ,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Phượng Vĩ
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Thụy Liễu,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Thụy Liễu
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Tùng Khê,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Tùng Khê
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Tam Sơn,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Tam Sơn
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Văn Bán,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Văn Bán
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Cấp Dẫn,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Cấp Dẫn
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Xương Thịnh,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Xương Thịnh
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Phú Khê,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Phú Khê
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Sơn Tình,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Sơn Tình
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Yên Tập,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Yên Tập
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Hương Lung,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Hương Lung
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Tạ Xá,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Tạ Xá
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Phú Lạc,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Phú Lạc
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Chương Xá,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Chương Xá
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Hùng Việt,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Hùng Việt
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Văn Khúc,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Văn Khúc
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Yên Dưỡng,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Yên Dưỡng
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Điêu Lương,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Điêu Lương
Tỉnh Phú Thọ,Huyện Cẩm Khê,Xã Đồng Lương,tinh,Phú Thọ,huyen,Cẩm Khê,xa,Đồng Lương
Tỉnh Phú Thọ,Huyện Tam Nông,Thị trấn Hưng Hoá,tinh,Phú Thọ,huyen,Tam Nông,thi tran,Hưng Hoá
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Hiền Quan,tinh,Phú Thọ,huyen,Tam Nông,xa,Hiền Quan
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Bắc Sơn,tinh,Phú Thọ,huyen,Tam Nông,xa,Bắc Sơn
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Thanh Uyên,tinh,Phú Thọ,huyen,Tam Nông,xa,Thanh Uyên
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Lam Sơn,tinh,Phú Thọ,huyen,Tam Nông,xa,Lam Sơn
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Vạn Xuân,tinh,Phú Thọ,huyen,Tam Nông,xa,Vạn Xuân
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Quang Húc,tinh,Phú Thọ,huyen,Tam Nông,xa,Quang Húc
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Hương Nộn,tinh,Phú Thọ,huyen,Tam Nông,xa,Hương Nộn
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Tề Lễ,tinh,Phú Thọ,huyen,Tam Nông,xa,Tề Lễ
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Thọ Văn,tinh,Phú Thọ,huyen,Tam Nông,xa,Thọ Văn
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Dị Nậu,tinh,Phú Thọ,huyen,Tam Nông,xa,Dị Nậu
Tỉnh Phú Thọ,Huyện Tam Nông,Xã Dân Quyền,tinh,Phú Thọ,huyen,Tam Nông,xa,Dân Quyền
Tỉnh Phú Thọ,Huyện Lâm Thao,Thị trấn Lâm Thao,tinh,Phú Thọ,huyen,Lâm Thao,thi tran,Lâm Thao
Tỉnh Phú Thọ,Huyện Lâm Thao,Xã Tiên Kiên,tinh,Phú Thọ,huyen,Lâm Thao,xa,Tiên Kiên
Tỉnh Phú Thọ,Huyện Lâm Thao,Thị trấn Hùng Sơn,tinh,Phú Thọ,huyen,Lâm Thao,thi tran,Hùng Sơn
Tỉnh Phú Thọ,Huyện Lâm Thao,Xã Xuân Lũng,tinh,Phú Thọ,huyen,Lâm Thao,xa,Xuân Lũng
Tỉnh Phú Thọ,Huyện Lâm Thao,Xã Xuân Huy,tinh,Phú Thọ,huyen,Lâm Thao,xa,Xuân Huy
Tỉnh Phú Thọ,Huyện Lâm Thao,Xã Thạch Sơn,tinh,Phú Thọ,huyen,Lâm Thao,xa,Thạch Sơn
Tỉnh Phú Thọ,Huyện Lâm Thao,Xã Sơn Vi,tinh,Phú Thọ,huyen,Lâm Thao,xa,Sơn Vi
Tỉnh Phú Thọ,Huyện Lâm Thao,Xã Phùng Nguyên,tinh,Phú Thọ,huyen,Lâm Thao,xa,Phùng Nguyên
Tỉnh Phú Thọ,Huyện Lâm Thao,Xã Cao Xá,tinh,Phú Thọ,huyen,Lâm Thao,xa,Cao Xá
Tỉnh Phú Thọ,Huyện Lâm Thao,Xã Vĩnh Lại,tinh,Phú Thọ,huyen,Lâm Thao,xa,Vĩnh Lại
Tỉnh Phú Thọ,Huyện Lâm Thao,Xã Tứ Xã,tinh,Phú Thọ,huyen,Lâm Thao,xa,Tứ Xã
Tỉnh Phú Thọ,Huyện Lâm Thao,Xã Bản Nguyên,tinh,Phú Thọ,huyen,Lâm Thao,xa,Bản Nguyên
Tỉnh Phú Thọ,Huyện Thanh Sơn,Thị trấn Thanh Sơn,tinh,Phú Thọ,huyen,Thanh Sơn,thi tran,Thanh Sơn
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Sơn Hùng,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Sơn Hùng
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Địch Quả,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Địch Quả
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Giáp Lai,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Giáp Lai
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Thục Luyện,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Thục Luyện
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Võ Miếu,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Võ Miếu
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Thạch Khoán,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Thạch Khoán
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Cự Thắng,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Cự Thắng
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Tất Thắng,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Tất Thắng
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Văn Miếu,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Văn Miếu
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Cự Đồng,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Cự Đồng
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Thắng Sơn,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Thắng Sơn
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Tân Minh,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Tân Minh
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Hương Cần,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Hương Cần
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Khả Cửu,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Khả Cửu
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Đông Cửu,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Đông Cửu
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Tân Lập,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Tân Lập
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Yên Lãng,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Yên Lãng
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Yên Lương,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Yên Lương
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Thượng Cửu,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Thượng Cửu
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Lương Nha,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Lương Nha
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Yên Sơn,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Yên Sơn
Tỉnh Phú Thọ,Huyện Thanh Sơn,Xã Tinh Nhuệ,tinh,Phú Thọ,huyen,Thanh Sơn,xa,Tinh Nhuệ
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Xã Đào Xá,tinh,Phú Thọ,huyen,Thanh Thuỷ,xa,Đào Xá
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Xã Thạch Đồng,tinh,Phú Thọ,huyen,Thanh Thuỷ,xa,Thạch Đồng
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Xã Xuân Lộc,tinh,Phú Thọ,huyen,Thanh Thuỷ,xa,Xuân Lộc
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Xã Tân Phương,tinh,Phú Thọ,huyen,Thanh Thuỷ,xa,Tân Phương
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Thị trấn Thanh Thủy,tinh,Phú Thọ,huyen,Thanh Thuỷ,thi tran,Thanh Thủy
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Xã Sơn Thủy,tinh,Phú Thọ,huyen,Thanh Thuỷ,xa,Sơn Thủy
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Xã Bảo Yên,tinh,Phú Thọ,huyen,Thanh Thuỷ,xa,Bảo Yên
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Xã Đoan Hạ,tinh,Phú Thọ,huyen,Thanh Thuỷ,xa,Đoan Hạ
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Xã Đồng Trung,tinh,Phú Thọ,huyen,Thanh Thuỷ,xa,Đồng Trung
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Xã Hoàng Xá,tinh,Phú Thọ,huyen,Thanh Thuỷ,xa,Hoàng Xá
Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Xã Tu Vũ,tinh,Phú Thọ,huyen,Thanh Thuỷ,xa,Tu Vũ
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Thu Cúc,tinh,Phú Thọ,huyen,Tân Sơn,xa,Thu Cúc
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Thạch Kiệt,tinh,Phú Thọ,huyen,Tân Sơn,xa,Thạch Kiệt
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Thu Ngạc,tinh,Phú Thọ,huyen,Tân Sơn,xa,Thu Ngạc
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Kiệt Sơn,tinh,Phú Thọ,huyen,Tân Sơn,xa,Kiệt Sơn
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Đồng Sơn,tinh,Phú Thọ,huyen,Tân Sơn,xa,Đồng Sơn
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Lai Đồng,tinh,Phú Thọ,huyen,Tân Sơn,xa,Lai Đồng
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Tân Phú,tinh,Phú Thọ,huyen,Tân Sơn,xa,Tân Phú
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Mỹ Thuận,tinh,Phú Thọ,huyen,Tân Sơn,xa,Mỹ Thuận
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Tân Sơn,tinh,Phú Thọ,huyen,Tân Sơn,xa,Tân Sơn
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Xuân Đài,tinh,Phú Thọ,huyen,Tân Sơn,xa,Xuân Đài
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Minh Đài,tinh,Phú Thọ,huyen,Tân Sơn,xa,Minh Đài
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Văn Luông,tinh,Phú Thọ,huyen,Tân Sơn,xa,Văn Luông
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Xuân Sơn,tinh,Phú Thọ,huyen,Tân Sơn,xa,Xuân Sơn
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Long Cốc,tinh,Phú Thọ,huyen,Tân Sơn,xa,Long Cốc
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Kim Thượng,tinh,Phú Thọ,huyen,Tân Sơn,xa,Kim Thượng
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Tam Thanh,tinh,Phú Thọ,huyen,Tân Sơn,xa,Tam Thanh
Tỉnh Phú Thọ,Huyện Tân Sơn,Xã Vinh Tiền,tinh,Phú Thọ,huyen,Tân Sơn,xa,Vinh Tiền
Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Phường Tích Sơn,tinh,Vĩnh Phúc,thanh pho,Vĩnh Yên,phuong,Tích Sơn
Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Phường Liên Bảo,tinh,Vĩnh Phúc,thanh pho,Vĩnh Yên,phuong,Liên Bảo
Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Phường Hội Hợp,tinh,Vĩnh Phúc,thanh pho,Vĩnh Yên,phuong,Hội Hợp
Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Phường Đống Đa,tinh,Vĩnh Phúc,thanh pho,Vĩnh Yên,phuong,Đống Đa
Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Phường Ngô Quyền,tinh,Vĩnh Phúc,thanh pho,Vĩnh Yên,phuong,Ngô Quyền
Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Phường Đồng Tâm,tinh,Vĩnh Phúc,thanh pho,Vĩnh Yên,phuong,Đồng Tâm
Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Xã Định Trung,tinh,Vĩnh Phúc,thanh pho,Vĩnh Yên,xa,Định Trung
Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Phường Khai Quang,tinh,Vĩnh Phúc,thanh pho,Vĩnh Yên,phuong,Khai Quang
Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Xã Thanh Trù,tinh,Vĩnh Phúc,thanh pho,Vĩnh Yên,xa,Thanh Trù
Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Phường Trưng Trắc,tinh,Vĩnh Phúc,thanh pho,Phúc Yên,phuong,Trưng Trắc
Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Phường Hùng Vương,tinh,Vĩnh Phúc,thanh pho,Phúc Yên,phuong,Hùng Vương
Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Phường Trưng Nhị,tinh,Vĩnh Phúc,thanh pho,Phúc Yên,phuong,Trưng Nhị
Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Phường Phúc Thắng,tinh,Vĩnh Phúc,thanh pho,Phúc Yên,phuong,Phúc Thắng
Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Phường Xuân Hoà,tinh,Vĩnh Phúc,thanh pho,Phúc Yên,phuong,Xuân Hoà
Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Phường Đồng Xuân,tinh,Vĩnh Phúc,thanh pho,Phúc Yên,phuong,Đồng Xuân
Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Xã Ngọc Thanh,tinh,Vĩnh Phúc,thanh pho,Phúc Yên,xa,Ngọc Thanh
Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Xã Cao Minh,tinh,Vĩnh Phúc,thanh pho,Phúc Yên,xa,Cao Minh
Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Phường Nam Viêm,tinh,Vĩnh Phúc,thanh pho,Phúc Yên,phuong,Nam Viêm
Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Phường Tiền Châu,tinh,Vĩnh Phúc,thanh pho,Phúc Yên,phuong,Tiền Châu
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Thị trấn Lập Thạch,tinh,Vĩnh Phúc,huyen,Lập Thạch,thi tran,Lập Thạch
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Quang Sơn,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Quang Sơn
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Ngọc Mỹ,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Ngọc Mỹ
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Hợp Lý,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Hợp Lý
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Bắc Bình,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Bắc Bình
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Thái Hòa,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Thái Hòa
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Thị trấn Hoa Sơn,tinh,Vĩnh Phúc,huyen,Lập Thạch,thi tran,Hoa Sơn
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Liễn Sơn,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Liễn Sơn
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Xuân Hòa,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Xuân Hòa
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Vân Trục,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Vân Trục
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Liên Hòa,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Liên Hòa
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Tử Du,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Tử Du
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Bàn Giản,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Bàn Giản
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Xuân Lôi,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Xuân Lôi
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Đồng Ích,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Đồng Ích
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Tiên Lữ,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Tiên Lữ
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Văn Quán,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Văn Quán
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Đình Chu,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Đình Chu
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Triệu Đề,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Triệu Đề
Tỉnh Vĩnh Phúc,Huyện Lập Thạch,Xã Sơn Đông,tinh,Vĩnh Phúc,huyen,Lập Thạch,xa,Sơn Đông
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Thị trấn Hợp Hòa,tinh,Vĩnh Phúc,huyen,Tam Dương,thi tran,Hợp Hòa
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Hoàng Hoa,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Hoàng Hoa
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Đồng Tĩnh,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Đồng Tĩnh
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Kim Long,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Kim Long
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Hướng Đạo,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Hướng Đạo
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Đạo Tú,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Đạo Tú
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã An Hòa,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,An Hòa
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Thanh Vân,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Thanh Vân
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Duy Phiên,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Duy Phiên
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Hoàng Đan,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Hoàng Đan
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Hoàng Lâu,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Hoàng Lâu
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Vân Hội,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Vân Hội
Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã Hợp Thịnh,tinh,Vĩnh Phúc,huyen,Tam Dương,xa,Hợp Thịnh
Tỉnh Vĩnh Phúc,Huyện Tam Đảo,Thị trấn Tam Đảo,tinh,Vĩnh Phúc,huyen,Tam Đảo,thi tran,Tam Đảo
Tỉnh Vĩnh Phúc,Huyện Tam Đảo,Thị trấn Hợp Châu,tinh,Vĩnh Phúc,huyen,Tam Đảo,thi tran,Hợp Châu
Tỉnh Vĩnh Phúc,Huyện Tam Đảo,Xã Đạo Trù,tinh,Vĩnh Phúc,huyen,Tam Đảo,xa,Đạo Trù
Tỉnh Vĩnh Phúc,Huyện Tam Đảo,Xã Yên Dương,tinh,Vĩnh Phúc,huyen,Tam Đảo,xa,Yên Dương
Tỉnh Vĩnh Phúc,Huyện Tam Đảo,Xã Bồ Lý,tinh,Vĩnh Phúc,huyen,Tam Đảo,xa,Bồ Lý
Tỉnh Vĩnh Phúc,Huyện Tam Đảo,Thị trấn Đại Đình,tinh,Vĩnh Phúc,huyen,Tam Đảo,thi tran,Đại Đình
Tỉnh Vĩnh Phúc,Huyện Tam Đảo,Xã Tam Quan,tinh,Vĩnh Phúc,huyen,Tam Đảo,xa,Tam Quan
Tỉnh Vĩnh Phúc,Huyện Tam Đảo,Xã Hồ Sơn,tinh,Vĩnh Phúc,huyen,Tam Đảo,xa,Hồ Sơn
Tỉnh Vĩnh Phúc,Huyện Tam Đảo,Xã Minh Quang,tinh,Vĩnh Phúc,huyen,Tam Đảo,xa,Minh Quang
Tỉnh Vĩnh Phúc,Huyện Bình Xuyên,Thị trấn Hương Canh,tinh,Vĩnh Phúc,huyen,Bình Xuyên,thi tran,Hương Canh
Tỉnh Vĩnh Phúc,Huyện Bình Xuyên,Thị trấn Gia Khánh,tinh,Vĩnh Phúc,huyen,Bình Xuyên,thi tran,Gia Khánh
